country,year,value,region,indicator
NIU,2011,5.8,Western Pacific,MDG_0000000017
ARM,2014,2.8,Europe,MDG_0000000017
BGD,2005,60,South-East Asia,MDG_0000000017
HUN,2001,3.7,Europe,MDG_0000000017
COL,2022,3.3,Americas,MDG_0000000017
SMR,2018,0,Europe,MDG_0000000017
PSE,2017,0.08,Eastern Mediterranean,MDG_0000000017
CAN,2017,0.28,Americas,MDG_0000000017
BIH,2012,4.6,Europe,MDG_0000000017
AMR,2002,3,NA,MDG_0000000017
WPR,2006,8.3,NA,MDG_0000000017
UKR,2016,10,Europe,MDG_0000000017
CIV,2000,51,Africa,MDG_0000000017
SWZ,2016,31,Africa,MDG_0000000017
SLE,2017,39,Africa,MDG_0000000017
STP,2019,19,Africa,MDG_0000000017
WB_UMI,2000,14,NA,MDG_0000000017
LBY,2013,8.3,Eastern Mediterranean,MDG_0000000017
UKR,2001,23,Europe,MDG_0000000017
BLR,2008,10,Europe,MDG_0000000017
NRU,2001,2.8,Western Pacific,MDG_0000000017
MNE,2022,0.21,Europe,MDG_0000000017
IRQ,2002,4.7,Eastern Mediterranean,MDG_0000000017
LSO,2005,91,Africa,MDG_0000000017
VCT,2022,0.98,Americas,MDG_0000000017
NIU,2001,0,Western Pacific,MDG_0000000017
TUN,2000,1.7,Eastern Mediterranean,MDG_0000000017
EST,2020,0.69,Europe,MDG_0000000017
BTN,2023,28,South-East Asia,MDG_0000000017
LCA,2007,1.8,Americas,MDG_0000000017
TUR,2014,0.74,Europe,MDG_0000000017
JPN,2014,2.6,Western Pacific,MDG_0000000017
RWA,2017,5,Africa,MDG_0000000017
BEL,2016,0.28,Europe,MDG_0000000017
COL,2003,3.3,Americas,MDG_0000000017
JAM,2015,0.24,Americas,MDG_0000000017
WB_LI,2014,35,NA,MDG_0000000017
STP,2022,24,Africa,MDG_0000000017
GLOBAL,2021,15,NA,MDG_0000000017
LBN,2011,0.89,Eastern Mediterranean,MDG_0000000017
ARM,2010,5.6,Europe,MDG_0000000017
KOR,2023,2.9,Western Pacific,MDG_0000000017
BHS,2023,0.58,Americas,MDG_0000000017
TZA,2022,18,Africa,MDG_0000000017
TUR,2019,0.48,Europe,MDG_0000000017
BRB,2010,0.37,Americas,MDG_0000000017
BHS,2008,1.3,Americas,MDG_0000000017
ERI,2015,18,Africa,MDG_0000000017
ARG,2008,1.6,Americas,MDG_0000000017
CYP,2013,0.1,Europe,MDG_0000000017
GIN,2020,20,Africa,MDG_0000000017
AFG,2000,68,Eastern Mediterranean,MDG_0000000017
WPR,2009,7.2,NA,MDG_0000000017
IDN,2007,49,South-East Asia,MDG_0000000017
SYC,2002,3.9,Africa,MDG_0000000017
COM,2002,8.3,Africa,MDG_0000000017
GMB,2005,22,Africa,MDG_0000000017
AFR,2012,42,NA,MDG_0000000017
MHL,2010,47,Western Pacific,MDG_0000000017
KHM,2011,25,Western Pacific,MDG_0000000017
URY,2004,2.7,Americas,MDG_0000000017
ZAF,2003,67,Africa,MDG_0000000017
AUS,2010,0.25,Western Pacific,MDG_0000000017
CPV,2005,6.3,Africa,MDG_0000000017
NIU,2007,0,Western Pacific,MDG_0000000017
EGY,2005,1.2,Eastern Mediterranean,MDG_0000000017
SAU,2003,2.2,Eastern Mediterranean,MDG_0000000017
TJK,2003,14,Europe,MDG_0000000017
NOR,2016,0.34,Europe,MDG_0000000017
CUB,2010,0.4,Americas,MDG_0000000017
COL,2017,2.2,Americas,MDG_0000000017
DZA,2023,4,Africa,MDG_0000000017
GNQ,2020,49,Africa,MDG_0000000017
DEU,2002,0.62,Europe,MDG_0000000017
