country,year,value,region,indicator
SAU,2008,53.46099,Eastern Mediterranean,NCD_UNDER70
BWA,2001,65.94416,Africa,NCD_UNDER70
BLZ,2015,57.03983,Americas,NCD_UNDER70
LBN,2014,46.7655,Eastern Mediterranean,NCD_UNDER70
DOM,2011,47.65995,Americas,NCD_UNDER70
VNM,2019,55.9799,Western Pacific,NCD_UNDER70
YEM,2002,58.07767,Eastern Mediterranean,NCD_UNDER70
EUR,2019,20.7356,NA,NCD_UNDER70
MOZ,2011,68.86538,Africa,NCD_UNDER70
NGA,2001,68.26099,Africa,NCD_UNDER70
ESP,2011,13.50639,Europe,NCD_UNDER70
CRI,2011,42.11557,Americas,NCD_UNDER70
PAK,2018,60.60546,Eastern Mediterranean,NCD_UNDER70
BHR,2017,51.61996,Eastern Mediterranean,NCD_UNDER70
LBR,2016,63.17786,Africa,NCD_UNDER70
GEO,2001,25.77131,Europe,NCD_UNDER70
VUT,2008,61.6686,Western Pacific,NCD_UNDER70
MNG,2019,72.19322,Western Pacific,NCD_UNDER70
BOL,2004,52.56987,Americas,NCD_UNDER70
PHL,2015,56.0654,Western Pacific,NCD_UNDER70
WSM,2015,53.63835,Western Pacific,NCD_UNDER70
ZMB,2006,71.27693,Africa,NCD_UNDER70
IDN,2019,51.74665,South-East Asia,NCD_UNDER70
SRB,2016,38.43941,Europe,NCD_UNDER70
COM,2005,53.79044,Africa,NCD_UNDER70
VEN,2005,47.42209,Americas,NCD_UNDER70
HUN,2003,37.73349,Europe,NCD_UNDER70
HRV,2016,16.02345,Europe,NCD_UNDER70
PRI,2004,24.4563,Americas,NCD_UNDER70
TON,2009,50.8636,Western Pacific,NCD_UNDER70
SLB,2006,56.93026,Western Pacific,NCD_UNDER70
FSM,2010,63.53226,Western Pacific,NCD_UNDER70
VUT,2008,59.12288,Western Pacific,NCD_UNDER70
VCT,2002,44.38935,Americas,NCD_UNDER70
LAO,2003,62.71842,Western Pacific,NCD_UNDER70
SOM,2005,67.36468,Eastern Mediterranean,NCD_UNDER70
PNG,2017,67.18437,Western Pacific,NCD_UNDER70
MMR,2015,51.05976,South-East Asia,NCD_UNDER70
BFA,2015,70.88104,Africa,NCD_UNDER70
WB_LI,2020,64.68464,NA,NCD_UNDER70
ZAF,2009,56.81282,Africa,NCD_UNDER70
IDN,2019,45.85268,South-East Asia,NCD_UNDER70
CRI,2003,44.93065,Americas,NCD_UNDER70
TCD,2011,73.42919,Africa,NCD_UNDER70
ISR,2017,29.69846,Europe,NCD_UNDER70
AUT,2006,15.44114,Europe,NCD_UNDER70
EUR,2021,20.4646,NA,NCD_UNDER70
ZMB,2000,68.06481,Africa,NCD_UNDER70
EST,2007,48.97252,Europe,NCD_UNDER70
BRB,2002,35.94022,Americas,NCD_UNDER70
ARM,2012,38.28437,Europe,NCD_UNDER70
PRI,2009,25.84724,Americas,NCD_UNDER70
ECU,2017,40.75941,Americas,NCD_UNDER70
HRV,2002,34.56528,Europe,NCD_UNDER70
MAR,2016,49.50528,Eastern Mediterranean,NCD_UNDER70
QAT,2018,57.61684,Eastern Mediterranean,NCD_UNDER70
TON,2007,47.84173,Western Pacific,NCD_UNDER70
TLS,2001,68.64492,South-East Asia,NCD_UNDER70
VNM,2016,31.37219,Western Pacific,NCD_UNDER70
KIR,2001,69.62663,Western Pacific,NCD_UNDER70
LUX,2008,24.7712,Europe,NCD_UNDER70
YEM,2010,63.98281,Eastern Mediterranean,NCD_UNDER70
MEX,2004,45.12833,Americas,NCD_UNDER70
CUB,2018,37.11843,Americas,NCD_UNDER70
TKM,2019,65.05868,Europe,NCD_UNDER70
AMR,2020,37.46553,NA,NCD_UNDER70
SGP,2017,45.83702,Western Pacific,NCD_UNDER70
IND,2004,54.41622,South-East Asia,NCD_UNDER70
BWA,2007,51.38648,Africa,NCD_UNDER70
AUS,2020,22.59011,Western Pacific,NCD_UNDER70
VUT,2000,55.27711,Western Pacific,NCD_UNDER70
WB_UMI,2000,50.59418,NA,NCD_UNDER70
BIH,2014,40.27793,Europe,NCD_UNDER70
ARE,2014,73.16113,Eastern Mediterranean,NCD_UNDER70
GNQ,2007,59.36682,Africa,NCD_UNDER70
COG,2008,53.85678,Africa,NCD_UNDER70
ATG,2014,45.5078,Americas,NCD_UNDER70
COM,2006,57.06427,Africa,NCD_UNDER70
BGR,2000,24.82319,Europe,NCD_UNDER70
JPN,2015,24.94523,Western Pacific,NCD_UNDER70
TGO,2008,68.14442,Africa,NCD_UNDER70
SOM,2014,68.70252,Eastern Mediterranean,NCD_UNDER70
ITA,2016,21.3236,Europe,NCD_UNDER70
LUX,2007,32.18336,Europe,NCD_UNDER70
BEN,2018,64.49376,Africa,NCD_UNDER70
TTO,2011,65.59303,Americas,NCD_UNDER70
LBY,2007,57.76236,Eastern Mediterranean,NCD_UNDER70
WB_UMI,2008,45.19488,NA,NCD_UNDER70
PER,2003,53.73552,Americas,NCD_UNDER70
KAZ,2003,54.08318,Europe,NCD_UNDER70
CRI,2011,34.78783,Americas,NCD_UNDER70
EST,2020,15.53564,Europe,NCD_UNDER70
HRV,2016,25.83433,Europe,NCD_UNDER70
BGR,2002,24.11988,Europe,NCD_UNDER70
ISL,2007,18.28384,Europe,NCD_UNDER70
CAF,2002,68.75891,Africa,NCD_UNDER70
NGA,2009,61.4715,Africa,NCD_UNDER70
TCD,2006,67.86137,Africa,NCD_UNDER70
PAN,2010,40.98605,Americas,NCD_UNDER70
MLT,2008,20.90814,Europe,NCD_UNDER70
AFR,2017,57.14233,NA,NCD_UNDER70
FIN,2008,17.00006,Europe,NCD_UNDER70
TCD,2011,65.26813,Africa,NCD_UNDER70
GMB,2003,59.03698,Africa,NCD_UNDER70
SDN,2003,52.92986,Eastern Mediterranean,NCD_UNDER70
GRC,2008,12.72882,Europe,NCD_UNDER70
