country,year,value,region,indicator
IRN,1992,67.30126,Eastern Mediterranean,MDG_0000000026
HUN,1996,16.6846,Europe,MDG_0000000026
LSO,1985,565.26852,Africa,MDG_0000000026
ITA,2000,10.07318,Europe,MDG_0000000026
CIV,2007,589.38139,Africa,MDG_0000000026
SGP,2014,7.88817,Western Pacific,MDG_0000000026
SYR,1997,36.77062,Eastern Mediterranean,MDG_0000000026
WPR,2015,41.80987,NA,MDG_0000000026
CHN,1994,79.01436,Western Pacific,MDG_0000000026
CZE,1999,6.56561,Europe,MDG_0000000026
RWA,2005,532.60731,Africa,MDG_0000000026
IRN,2007,28.57518,Eastern Mediterranean,MDG_0000000026
SAU,2012,15.25455,Eastern Mediterranean,MDG_0000000026
GIN,2005,845.61365,Africa,MDG_0000000026
CHE,2000,7.90424,Europe,MDG_0000000026
DOM,1987,151.79887,Americas,MDG_0000000026
PSE,2018,20.95697,Eastern Mediterranean,MDG_0000000026
NOR,1986,6.65664,Europe,MDG_0000000026
LBN,1986,66.48235,Eastern Mediterranean,MDG_0000000026
SVN,2014,5.01055,Europe,MDG_0000000026
CHN,1986,102.62296,Western Pacific,MDG_0000000026
TCD,1991,1390.60722,Africa,MDG_0000000026
AGO,2002,758.27183,Africa,MDG_0000000026
SOM,2009,950.92194,Eastern Mediterranean,MDG_0000000026
QAT,2011,10.0727,Eastern Mediterranean,MDG_0000000026
FJI,1993,56.05374,Western Pacific,MDG_0000000026
EMR,2008,249.22465,NA,MDG_0000000026
SOM,1996,1094.48592,Eastern Mediterranean,MDG_0000000026
UZB,2001,40.28183,Europe,MDG_0000000026
COL,2012,70.59163,Americas,MDG_0000000026
VUT,1987,165.43314,Western Pacific,MDG_0000000026
TJK,1989,90.87809,Europe,MDG_0000000026
SLB,2010,147.06341,Western Pacific,MDG_0000000026
VUT,1997,107.91267,Western Pacific,MDG_0000000026
ALB,1985,47.69869,Europe,MDG_0000000026
GNB,1994,1423.45605,Africa,MDG_0000000026
POL,2013,2.28899,Europe,MDG_0000000026
BHR,1998,27.16236,Eastern Mediterranean,MDG_0000000026
UZB,2013,33.78471,Europe,MDG_0000000026
USA,1997,10.93363,Americas,MDG_0000000026
IRQ,2019,72.77916,Eastern Mediterranean,MDG_0000000026
IDN,2020,172.92251,South-East Asia,MDG_0000000026
USA,2015,17.37795,Americas,MDG_0000000026
LKA,2020,28.84231,South-East Asia,MDG_0000000026
ISL,2020,2.65442,Europe,MDG_0000000026
SLV,2018,44.65384,Americas,MDG_0000000026
MMR,2011,278.55812,South-East Asia,MDG_0000000026
STP,2020,146.24005,Africa,MDG_0000000026
GBR,2017,8.51876,Europe,MDG_0000000026
MNG,1992,202.08096,Western Pacific,MDG_0000000026
SLV,1998,61.07265,Americas,MDG_0000000026
MRT,2002,671.18333,Africa,MDG_0000000026
SWZ,1991,359.63852,Africa,MDG_0000000026
SUR,1993,371.49119,Americas,MDG_0000000026
ZMB,1994,543.74712,Africa,MDG_0000000026
PRY,2016,68.81165,Americas,MDG_0000000026
GRC,2015,5.36315,Europe,MDG_0000000026
NPL,1998,543.05703,South-East Asia,MDG_0000000026
TCD,2018,1076.16398,Africa,MDG_0000000026
VNM,2000,88.46067,Western Pacific,MDG_0000000026
